5.77002,-16.1104,-4.63623,-86.6382,36.8262,-99.7339
6.19629,-16.0444,-4.71094,-84.0234,37.3755,-88.7695
6.21387,-16.0664,-4.68018,-83.8257,37.1777,-87.3193
5.96777,-16.1191,-4.70215,-86.4624,36.958,-94.4824
5.82715,-16.0928,-4.58789,-90.022,35.9692,-104.37
5.85791,-16.1191,-4.55713,-89.9561,35.6396,-107.534
5.8623,-16.1016,-4.55713,-90.5273,35.7935,-110.896
5.85791,-16.062,-4.49121,-90.5933,35.6616,-112.522
5.8667,-16.0752,-4.53076,-90.9448,35.7715,-113.247
5.87988,-16.0796,-4.52197,-90.835,35.7715,-113.291
5.88867,-16.084,-4.51758,-90.813,35.7275,-113.291
5.89307,-16.0884,-4.51318,-90.791,35.7056,-113.291
5.89307,-16.084,-4.51318,-90.769,35.7495,-113.467
5.92383,-16.0752,-4.48682,-90.5273,35.6177,-114.06
5.95459,-16.0708,-4.48242,-90.2637,35.5518,-114.478
5.96777,-16.062,-4.50439,-90.1318,35.6396,-114.785
5.95459,-16.1016,-4.44727,-90,35.0903,-115.752
5.96338,-16.1104,-4.47803,-89.8901,34.541,-118.74
5.95898,-16.0752,-4.40771,-89.6924,33.772,-121.399
6.05127,-16.0181,-4.40771,-89.2529,33.0908,-123.64
6.3501,-15.9521,-4.31543,-87.1216,31.6626,-125.222
6.8291,-15.7764,-4.13965,-83.4961,29.2456,-126.76
7.28613,-15.583,-4.14404,-80.0464,27.9053,-129.155
7.65527,-15.4248,-4.04736,-77.3218,25.1587,-131.572
7.87939,-15.3896,-3.98584,-76.2231,24.082,-135.088
8.04639,-15.293,-4.12207,-75.1025,24.6313,-137.219
8.12109,-15.2754,-4.13086,-74.6411,24.082,-137.395
8.13428,-15.2886,-4.13965,-75.0586,23.313,-138.274
8.31885,-15.2754,-4.12646,-73.7402,21.731,-137.461
8.38916,-15.3105,-4.10449,-72.4878,20.3027,-135.747
8.49463,-15.2798,-4.17041,-71.1255,19.8853,-134.275
8.57813,-15.2754,-4.18359,-69.2358,19.3579,-131.528
8.60889,-15.2271,-4.16162,-67.0825,18.1934,-127.288
8.73193,-15.249,-4.15723,-65.1709,17.0728,-123.772
8.65723,-15.2754,-4.12646,-65.3247,16.6772,-121.157
8.75391,-15.2578,-4.07813,-64.9072,16.04,-117.488
8.70557,-15.2886,-4.09131,-65.8301,15.7544,-113.049
8.64844,-15.3193,-4.06934,-66.8848,15.1611,-107.952
8.56934,-15.3809,-4.06934,-68.1812,14.6777,-103.14
8.56494,-15.4336,-4.08252,-69.4336,13.9966,-97.4048
8.55615,-15.4688,-3.98145,-69.9829,12.7441,-93.252
8.55615,-15.4819,-3.99463,-70.73,12.1509,-89.5386
8.5166,-15.5171,-3.97705,-71.2793,11.4478,-86.748
8.47705,-15.5654,-3.90674,-71.9604,10.3052,-84.6826
8.46826,-15.5698,-3.91992,-72.5537,10.0195,-82.6611
8.49463,-15.5566,-3.91553,-72.6416,9.86572,-79.585
8.52539,-15.605,-3.87598,-72.6855,9.82178,-76.1792
8.57373,-15.6138,-3.94629,-71.1035,10.437,-73.938
8.56494,-15.605,-4.00781,-70.686,10.5029,-72.0264
8.48584,-15.6533,-3.94189,-71.4331,9.53613,-70.2026
8.38477,-15.627,-3.94629,-73.0811,8.32764,-69.6313
8.34961,-15.7017,-3.8584,-74.5752,6.3501,-68.4668
8.22656,-15.7412,-3.77051,-76.4868,4.24072,-67.478
8.21338,-15.75,-3.78369,-78.0908,2.41699,-65.7422
8.15625,-15.7676,-3.75732,-79.4751,0.966797,-65.061
8.07715,-15.8115,-3.68701,-81.3428,-0.65918,-64.2261
8.00244,-15.8115,-3.6958,-83.0347,-1.53809,-63.1714
7.94531,-15.8159,-3.65625,-84.8804,-2.39502,-62.0947
7.87939,-15.8379,-3.59912,-86.5723,-3.25195,-60.9521
7.81787,-15.8423,-3.66943,-87.9126,-3.44971,-60.293
7.69922,-15.8467,-3.59912,-89.5166,-4.68018,-58.8647
7.62451,-15.8423,-3.52441,-91.2744,-6.21826,-56.7773
7.5498,-15.8379,-3.55957,-92.5269,-6.54785,-55.3491
7.48389,-15.8555,-3.42773,-93.4937,-7.62451,-53.2178
7.40918,-15.8511,-3.47607,-94.1528,-7.60254,-52.8442
7.35205,-15.8555,-3.48486,-94.4824,-8.10791,-52.6245
7.35645,-15.8555,-3.44531,-95.7568,-10.1294,-51.5918
7.40479,-15.8423,-3.46289,-95.7129,-10.1953,-51.3501
7.40479,-15.8379,-3.43652,-95.5371,-10.3931,-51.438
7.4707,-15.8379,-3.38818,-94.0869,-11.25,-52.998
7.62891,-15.75,-3.51563,-91.4063,-11.1841,-56.4697
7.69922,-15.7061,-3.43213,-89.6045,-11.7773,-58.7988
7.78711,-15.7324,-3.47607,-88.0225,-11.7993,-61.3037
7.87061,-15.7236,-3.49365,-86.5723,-11.7334,-63.501
7.91455,-15.6929,-3.48047,-85.2979,-11.8872,-65.083
7.97168,-15.6621,-3.50684,-84.3311,-11.7773,-66.3354
8.05078,-15.6226,-3.49365,-83.0566,-11.7114,-67.6099
8.06836,-15.6182,-3.48486,-82.1997,-11.6675,-68.9722
8.14307,-15.5742,-3.49805,-80.5518,-11.228,-70.686
8.15625,-15.5566,-3.47168,-79.9365,-11.3159,-71.5649
8.15625,-15.5566,-3.47607,-79.563,-11.1621,-72.0923
8.1958,-15.561,-3.49365,-78.8379,-10.8105,-72.9492
8.2002,-15.5215,-3.52441,-78.2446,-10.5249,-73.6084
